"ID","NAME","PRECISE_NAME","LAYER","STATE","COUNTRY"
239592,"ashokan reservoir","ashokan reservoir","macro","NY","US"
311213,"ashtabula","ashtabula","micro","OH","US"
1188,"ashtabula","ashtabula county","county","OH","US"
311276,"ashtabula","ashtabula county","macro","OH","US"
342255,"ashton","ashton","micro","IL","US"
342257,"ashton","greater ashton","micro","IL","US"
295281,"ashton glen","ashton glen","micro","NC","US"
136310,"ashton heights","ashton heights","micro","VA","US"
264029,"ashton manor","ashton manor","micro","NC","US"
339812,"ashton park","ashton park","micro","GA","US"
182937,"ashton place - heritage","ashton place - heritage","micro","CA","US"
129407,"ashton-sandy spring","ashton-sandy spring","superm","MD","US"
129391,"ashton-sandy spring","ashton-sandy spring","macro","MD","US"
128846,"ashton-sandy spring","ashton-sandy spring","micro","MD","US"
347485,"ashview heights","ashview heights","micro","GA","US"
196384,"ashville","greater ashville","micro","OH","US"
196385,"ashville","ashville","micro","OH","US"
205821,"ashville","ashville","micro","PA","US"
260924,"ashwood","ashwood","micro","TN","US"
261442,"ashwood","ashwood","micro","TN","US"
347475,"ashwood estates - telephone lake","ashwood estates - telephone lake","micro","GA","US"
340737,"ashworth community","ashworth community","micro","GA","US"
294641,"ashworth estates - camden park","ashworth estates - camden park","micro","NC","US"
351647,"asomante","asomante","micro","PR","US"
351991,"asomante","asomante","micro","PR","US"
1745,"asotin","asotin county","county","WA","US"
171191,"aspen","aspen","micro","UT","US"
202697,"aspen","aspen","micro","CA","US"
340479,"aspen acres","aspen acres","micro","GA","US"
129387,"aspen hill","aspen hill","macro","MD","US"
129403,"aspen hill","aspen hill","superm","MD","US"
128839,"aspen hill","aspen hill","micro","MD","US"
344475,"aspen ridge estates","aspen ridge estates","micro","IL","US"
208146,"aspen springs","aspen springs","micro","CA","US"
259679,"aspen woods","aspen woods","micro","GA","US"
201360,"aspermont","greater aspermont","micro","TX","US"
201359,"aspermont","aspermont","micro","TX","US"
201361,"aspermont north","aspermont north","micro","TX","US"
208206,"aspers","aspers","micro","PA","US"
242275,"aspinwall","aspinwall","micro","PA","US"
132389,"aspinwall hill","aspinwall hill","micro","MA","US"
132177,"assembly square","assembly square","micro","MA","US"
264636,"assumption","assumption","micro","OH","US"
345837,"assumption","assumption","micro","IL","US"
1868,"assumption","assumption county","county","LA","US"
345808,"assumption","greater assumption","micro","IL","US"
312614,"assyria","assyria","micro","MI","US"
312603,"assyria","greater assyria","micro","MI","US"
197271,"astatula","astatula","micro","FL","US"
197287,"astatula","greater astatula","micro","FL","US"
197295,"astor","astor","micro","FL","US"
328067,"astoria","greater astoria","micro","IL","US"
122159,"astoria","astoria","micro","NY","US"
328105,"astoria","astoria","micro","IL","US"
135500,"astoria","astoria","community","NY","US"
195595,"astrodome","astrodome","micro","TX","US"
132898,"asylum hill","asylum hill","micro","CT","US"
351703,"atalaya","atalaya","micro","PR","US"
196729,"atascadero","atascadero","micro","CA","US"
196749,"atascadero","greater atascadero","micro","CA","US"
195567,"atascocita","atascocita","micro","TX","US"
197022,"atascocita - tomball","atascocita - tomball","macro","TX","US"
1475,"atascosa","atascosa county","county","TX","US"
201894,"atascosa","atascosa","micro","TX","US"
201872,"atascosa","atascosa county","macro","TX","US"
1587,"atchison","atchison county","county","MO","US"
261,"atchison","atchison county","county","KS","US"
182861,"atchison village","atchison village","micro","CA","US"
182862,"atchison woods","atchison woods","micro","CA","US"
260769,"atco","greater atco","micro","NJ","US"
260768,"atco","atco","micro","NJ","US"
192544,"atglen","greater atglen","micro","PA","US"
192545,"atglen","atglen","micro","PA","US"
302918,"athalia","athalia","micro","OH","US"
266630,"athenia","athenia","micro","NJ","US"
214019,"athens","athens","micro","MI","US"
